Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
Guam,2018,0.732,,GUM,,,,,-1.162983053,,0,0.4082,5.611999989,0,
Guam,2019,0.732,,GUM,,,,,-1.162983053,,0,0.4082,5.857999802,0,
Isle of Man,2018,0,,IMN,,,,,3.214588866,,0,0.4729,2.667321205,0,
Isle of Man,2019,0,,IMN,,,,,3.214588866,,0,0.4729,2.667321205,0,
Jersey,2018,0,,,,,,,,,0,0.5479,,,
Jersey,2019,0,,,,,,,,,0,0.5479,,,
Macau,2018,0.2519,,,,,,,,,0,0.5511,,,
Macau,2019,0.2519,,,,,,,,,0,0.5511,,,
Martinique,2018,0,,,,,,,,,0,0.2336,,,
Martinique,2019,0,,,,,,,,,0,0.2336,,,
Mayotte,2018,0.7212,,,,,,,,,0,0.062,,,
Mayotte,2019,0.7212,,,,,,,,,0,0.062,,,
Netherlands Antilles,2018,0.2508,,,,,,,,,0,0.3866,,,
Netherlands Antilles,2019,0.2508,,,,,,,,,0,0.3866,,,
New Caledonia,2018,0.6633,,NCL,,,,-1.514572529,0.177142857,0.578317436,0,0.5462,13.61900043,5.86430531,
New Caledonia,2019,0.6633,,NCL,,,,-1.514572529,0.177142857,0.578317436,0,0.5462,13.42000008,5.86430531,
Northern Mariana Islands,2018,0.7754,,MNP,,,,,-20.06010379,,0,0.4811,11.17000008,0,
Northern Mariana Islands,2019,0.7754,,MNP,,,,,-20.06010379,,0,0.4811,11.17000008,0,
Puerto Rico,2018,0.0352,,PRI,52.98,,,,-1.041080619,,0,0.4952,11.44400024,0,
Puerto Rico,2019,0.0352,,PRI,52.98,,,,-1.041080619,,0,0.4952,11.16600037,0,
Réunion,2018,0.1578,,,,,,,,,0,0.1952,,,
Réunion,2019,0.1578,,,,,,,,,0,0.1952,,,
