Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
Costa Rica,2018,0.0489,POINT(-84.07391 10.273563),CRI,48.98215958,-3.103525718,56,4.596530131,1.618061785,2.221198274,0.2368,0.241,8.128000259,1.181349064,7.6
Costa Rica,2019,0.0489,POINT(-84.07391 10.273563),CRI,48.98215958,-3.103525718,56,4.596530131,1.618061785,2.221198274,0.2368,0.241,8.190999985,1.181349064,7.6
Slovenia,2018,0.2201,POINT(14.480837 45.813311),SVN,83.15,5.690351219,60,2.821540732,4.068661066,1.73860862,0.2216,0.2868,5.510000229,0.213509064,1.7
Slovenia,2019,0.2201,POINT(14.480837 45.813311),SVN,83.15,5.690351219,60,2.821540732,4.068661066,1.73860862,0.2216,0.2868,5.501999855,0.213509064,1.7
Albania,2018,0.0399,POINT(19.999962 41.000028),ALB,67.24429787,-6.689211887,36,7.974727972,4.40251487,2.020790426,0.2204,0.4719,13.89799976,1.698859222,7.8
Albania,2019,0.0399,POINT(19.999962 41.000028),ALB,67.24429787,-6.689211887,36,7.974727972,4.40251487,2.020790426,0.2204,0.4719,13.95600033,1.698859222,7.8
Cambodia,2018,0.2104,POINT(104.869423 13.506639),KHM,58.24375521,-12.19281103,20,13.09009613,5.90774125,2.890924692,0.2105,0.0965,1.047999978,1.731379629,24
Cambodia,2019,0.2104,POINT(104.869423 13.506639),KHM,58.24375521,-12.19281103,20,13.09009613,5.90774125,2.890924692,0.2105,0.0965,1.019999981,1.731379629,24
Azerbaijan,2018,0.2054,POINT(47.787251 40.393629),AZE,36.44828576,12.89121786,25,2.988947733,0.512193853,1.921883066,0.2047,0.4899,5.21999979,21.01902543,19.2
Azerbaijan,2019,0.2054,POINT(47.787251 40.393629),AZE,36.44828576,12.89121786,25,2.988947733,0.512193853,1.921883066,0.2047,0.4899,5.395999908,21.01902543,19.2
Seychelles,2018,0.1606,POINT(55.454015 -4.657498),SYC,69,-16.94370034,66,2.762801333,2.6431477,3.702918391,0.2025,0.2323,3.527800083,0.107254226,12.4
Seychelles,2019,0.1606,POINT(55.454015 -4.657498),SYC,69,-16.94370034,66,2.762801333,2.6431477,3.702918391,0.2025,0.2323,3.527800083,0.107254226,12.4
Dominica,2018,0,POINT(-61.365362 15.411314),DMA,55.28282995,-40.86010674,57,2.411848548,2.026131376,0.989191119,0.2003,0.4628,10.96000004,0.06637383,32.9
Dominica,2019,0,POINT(-61.365362 15.411314),DMA,55.28282995,-40.86010674,57,2.411848548,2.026131376,0.989191119,0.2003,0.4628,10.96000004,0.06637383,32.9
El Salvador,2018,0,POINT(-88.914068 13.800038),SLV,71.12502565,-4.765532104,35,1.638023691,2.017978144,1.090330006,0.1978,0.3559,4.389999866,0.94033783,11.8
El Salvador,2019,0,POINT(-88.914068 13.800038),SLV,71.12502565,-4.765532104,35,1.638023691,2.017978144,1.090330006,0.1978,0.3559,4.346000195,0.94033783,11.8
Honduras,2018,0.0553,POINT(-86.075514 15.257243),HND,43.72910037,-5.270625986,29,6.018331958,2.030375238,4.347349378,0.1867,0.2357,4.076000214,2.09204233,15.1
Honduras,2019,0.0553,POINT(-86.075514 15.257243),HND,43.72910037,-5.270625986,29,6.018331958,2.030375238,4.347349378,0.1867,0.2357,4.109000206,2.09204233,15.1
Chile,2018,0.1871,POINT(-71.31877 -31.761336),CHL,17.54,-3.070524709,67,2.039432009,2.587676494,2.434889814,0.1861,0.3841,7.22300005,11.47792034,6.2
Chile,2019,0.1871,POINT(-71.31877 -31.761336),CHL,17.54,-3.874752,67,2.039432009,2.587676494,2.434889814,0.1861,0.3841,7.43200016,11.47792034,6.2
St. Kitts and Nevis,2018,0,,KNA,67.76,-7.159130588,,9.255081009,2.146724809,-1.037122141,0.1842,0.6614,5.119999886,0,9.8
St. Kitts and Nevis,2019,0,,KNA,67.76,-7.159130588,,9.255081009,2.146724809,-1.037122141,0.1842,0.6614,5.119999886,0,9.8
"Egypt, Arab Rep.",2018,0.0237,POINT(29.267547 26.254049),EGY,40.35097085,-2.508289165,35,2.709343149,3.194431298,29.50193273,0.1836,0.1979,11.43599987,5.399681487,18.1
"Egypt, Arab Rep.",2019,0.0237,POINT(29.267547 26.254049),EGY,40.35097085,-2.508289165,35,2.709343149,3.194431298,29.50193273,0.1836,0.1979,11.29300022,5.399681487,18.1
Saudi Arabia,2018,0.0949,POINT(42.352833 25.624262),SAU,5.01,8.977045586,49,0.539983045,0.607923521,2.46594309,0.18,0.127,5.919000149,23.75815421,6
Saudi Arabia,2019,0.0949,POINT(42.352833 25.624262),SAU,5.01,8.977045586,49,0.539983045,0.607923521,2.46594309,0.18,0.127,5.918000221,23.75815421,6
St. Lucia,2018,0.3169,POINT(-60.975036 13.825049),LCA,35.1403711,5.351317321,55,2.082930444,0.339234187,1.938462444,0.1769,0.332,20.86800003,0.024718564,14.9
St. Lucia,2019,0.3169,POINT(-60.975036 13.825049),LCA,35.1403711,5.351317321,55,2.082930444,0.339234187,1.938462444,0.1769,0.332,20.46899986,0.024718564,14.9
Paraguay,2018,0.5975,POINT(-58.169344 -23.316593),PRY,39.85119321,0.021316392,29,0.955420154,2.349990344,3.975610157,0.1689,0.2123,4.711999893,1.545607443,17.2
Paraguay,2019,0.5975,POINT(-58.169344 -23.316593),PRY,39.85119321,0.021316392,29,0.955420154,2.349990344,3.975610157,0.1689,0.2123,4.676000118,1.545607443,17.2
Germany,2018,0.1642,POINT(10.423447 51.08342),DEU,70.99,7.343602078,80,2.666844474,1.195762891,1.732167661,0.1682,0.6571,3.424999952,0.068903995,3.1
Germany,2019,0.1642,POINT(10.423447 51.08342),DEU,70.99,7.343602078,80,2.666844474,1.195762891,1.732167661,0.1682,0.6571,3.198999882,0.068903995,3.1
Antigua and Barbuda,2018,0.1063,,ATG,104.36,-7.026594351,,8.390045571,6.430026467,1.209821835,0.1643,0.684,8.420000076,0,5
Antigua and Barbuda,2019,0.1063,,ATG,104.36,-7.026594351,,8.390045571,6.430026467,1.209821835,0.1643,0.684,8.420000076,0,5
Tuvalu,2018,0.1372,,TUV,58.21,18.15173499,,0.701755511,1.270855057,,0.1629,0.2524,8.489100456,0,20.6
Tuvalu,2019,0.1372,,TUV,58.21,18.15173499,,0.701755511,1.270855057,,0.1629,0.2524,8.489100456,0,20.6
Greece,2018,0.03,POINT(21.987713 38.995368),GRC,176.94,-2.865876335,45,1.846265988,2.191029524,0.625629147,0.1576,0.153,19.20700073,0.125129738,3.6
Greece,2019,0.03,POINT(21.987713 38.995368),GRC,176.94,-2.865876335,45,1.846265988,2.191029524,0.625629147,0.1576,0.153,18.08099937,0.125129738,3.6
China,2018,0.1327,POINT(116.380929 39.92877),CHN,14.47464036,0.360751327,39,1.495368482,6.082241155,2.074788902,0.1538,0.6643,4.416999817,1.496189953,7.4
China,2019,0.1327,POINT(116.380929 39.92877),CHN,14.47464036,0.360751327,39,1.495368482,6.082241155,2.074788902,0.1538,0.6643,4.423999786,1.496189953,7.4
Hungary,2018,0.0297,POINT(19.506094 47.181759),HUN,75.33,-0.429346897,46,-41.45757871,5.300354538,2.850247926,0.1522,0.5244,3.663000107,0.290070996,3.6
Hungary,2019,0.0297,POINT(19.506094 47.181759),HUN,75.33,-0.429346897,46,-41.45757871,5.300354538,2.850247926,0.1522,0.5244,3.463999987,0.290070996,3.6
Barbados,2018,0.0926,POINT(-59.52503 13.150033),BRB,105.48,-5.30571094,68,3.791953353,-0.640057736,4.66018464,0.1423,0.6934,9.56799984,0.071083299,11.3
Barbados,2019,0.0926,POINT(-59.52503 13.150033),BRB,105.48,-5.30571094,68,3.791953353,-0.640057736,4.66018464,0.1423,0.6934,9.588000298,0.071083299,11.3
Samoa,2018,0.0111,,WSM,51.34479751,2.49481001,,2.037004014,-2.556174478,4.197458887,0.1376,0.7871,8.324999809,0.44669654,13.6
Samoa,2019,0.0111,,WSM,51.34479751,2.49481001,,2.037004014,-2.556174478,4.197458887,0.1376,0.7871,8.456999779,0.44669654,13.6
