stamp,Chile
Feb-97,19987
Mar-97,21074
Apr-97,20943
May-97,21402
Jun-97,21502
Jul-97,22016
Aug-97,21404
Sep-97,22353
Oct-97,22492
Nov-97,21247
Dec-97,21863
Jan-98,22657
Feb-98,19489
Mar-98,21381
Apr-98,20962
May-98,20727
Jun-98,20361
Jul-98,21174
Aug-98,21392
Sep-98,23066
Oct-98,22791
Nov-98,21461
Dec-98,21644
Jan-99,21804
Feb-99,19010
Mar-99,21679
Apr-99,20387
May-99,20925
Jun-99,20838
Jul-99,20868
Aug-99,20765
Sep-99,21604
Oct-99,21049
Nov-99,20813
Dec-99,20932
Jan-00,20909
Feb-00,19313
Mar-00,20536
Apr-00,19532
May-00,20316
Jun-00,20214
Jul-00,20420
Aug-00,21166
Sep-00,21886
Oct-00,22090
Nov-00,21181
Dec-00,21330
Jan-01,21883
Feb-01,19139
Mar-01,20811
Apr-01,19782
May-01,20510
Jun-01,20243
Jul-01,20135
Aug-01,20841
Sep-01,20633
Oct-01,21374
Nov-01,20495
Dec-01,20270
Jan-02,21451
Feb-02,18199
Mar-02,19532
Apr-02,18836
May-02,19787
Jun-02,19433
Jul-02,20032
Aug-02,20292
Sep-02,20615
Oct-02,21065
Nov-02,19597
Dec-02,20142
Jan-03,21256
Feb-03,18083
Mar-03,20007
Apr-03,19100
May-03,19217
Jun-03,18778
Jul-03,19342
Aug-03,19305
Sep-03,20330
Oct-03,20422
Nov-03,18979
Dec-03,19667
Jan-04,20652
Feb-04,18347
Mar-04,19204
Apr-04,18459
May-04,18734
Jun-04,18481
Jul-04,18579
Aug-04,19126
Sep-04,20223
Oct-04,19636
Nov-04,19296
Dec-04,19615
Jan-05,19425
Feb-05,17573
Mar-05,19720
Apr-05,18702
May-05,19133
Jun-05,19073
Jul-05,19138
Aug-05,19405
Sep-05,20005
Oct-05,19906
Nov-05,18897
Dec-05,19854
Jan-06,20238
Feb-06,17631
Mar-06,19626
Apr-06,18386
May-06,19014
Jun-06,18863
Jul-06,19432
Aug-06,19525
Sep-06,19899
Oct-06,20027
Nov-06,19462
Dec-06,19280
Jan-07,20944
Feb-07,18416
Mar-07,20380
Apr-07,18954
May-07,19796
Jun-07,19556
Jul-07,19603
Aug-07,20438
Sep-07,20511
Oct-07,21200
Nov-07,20166
Dec-07,20605
Jan-08,21394
Feb-08,18974
Mar-08,20484
Apr-08,20190
May-08,20507
Jun-08,20161
Jul-08,20435
Aug-08,20127
Sep-08,21550
Oct-08,21005
Nov-08,20110
Dec-08,21644
Jan-09,22123
Feb-09,19231
Mar-09,22012
Apr-09,21058
May-09,20843
Jun-09,21034
Jul-09,21409
Aug-09,20490
Sep-09,21828
Oct-09,21131
Nov-09,20279
Dec-09,20802
Jan-10,21644
Feb-10,19111
Mar-10,21638
Apr-10,20411
May-10,20723
Jun-10,20499
Jul-10,20663
Aug-10,21117
Sep-10,21715
Oct-10,21180
Nov-10,20150
Dec-10,21792
Jan-11,21940
Feb-11,19422
Mar-11,22496
Apr-11,20527
May-11,20448
Jun-11,20003
Jul-11,19963
Aug-11,20611
Sep-11,21182
Oct-11,20217
Nov-11,20073
Dec-11,20476
Jan-12,21118
Feb-12,19972
Mar-12,21474
Apr-12,20586
May-12,20732
Jun-12,20125
Jul-12,20441
Aug-12,20309
Sep-12,19856
Oct-12,20293
Nov-12,19116
Dec-12,19613
Jan-13,21302
Feb-13,18755
Mar-13,20586
Apr-13,20375
May-13,20301
Jun-13,19753
Jul-13,20267
Aug-13,19799
Sep-13,20420
Oct-13,20444
Nov-13,19422
Dec-13,20581
Jan-14,22023
Feb-14,19139
Mar-14,21535
Apr-14,20922
May-14,20852
Jun-14,20610
Jul-14,21333
Aug-14,20518
Sep-14,21230
Oct-14,21476
Nov-14,20097
Dec-14,21262
Jan-15,22271
Feb-15,19739
Mar-15,21701
Apr-15,20524
May-15,20369
Jun-15,20180
Jul-15,20318
Aug-15,19953
Sep-15,20873
Oct-15,19773
Nov-15,18985
Dec-15,19984
Jan-16,20197
Feb-16,19094
Mar-16,21495
Apr-16,19414
May-16,19321
Jun-16,19120
Jul-16,19132
Aug-16,19214
Sep-16,19489
Oct-16,18297
Nov-16,18294
Dec-16,18682
Jan-17,19283
Feb-17,17131
Mar-17,19387
Apr-17,17881
May-17,18622
Jun-17,18316
Jul-17,18331
Aug-17,18242
Sep-17,18052
Oct-17,17971
Nov-17,17572
Dec-17,18398
Jan-18,18971
Feb-18,17229
Mar-18,19006
Apr-18,18279
May-18,19186
Jun-18,18474
Jul-18,18075
Aug-18,18580
Sep-18,18336
Oct-18,19055
Nov-18,17870
Dec-18,18670
Jan-19,
Feb-19,
Mar-19,
Apr-19,
May-19,
Jun-19,
Jul-19,
Aug-19,
Sep-19,
Oct-19,
Nov-19,
Dec-19,
Jan-20,
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,
Nov-20,
Dec-20,
Jan-21,
Feb-21,
Mar-21,
Apr-21,
May-21,
Jun-21,
Jul-21,
Aug-21,
Sep-21,
Oct-21,
Nov-21,
Dec-21,
