stamp,France
May-98,
Jun-98,
Jul-98,
Aug-98,
Sep-98,
Oct-98,
Nov-98,
Dec-98,
Jan-99,59837
Feb-99,55445
Mar-99,61726
Apr-99,61179
May-99,63900
Jun-99,62656
Jul-99,67137
Aug-99,63892
Sep-99,63828
Oct-99,62887
Nov-99,59317
Dec-99,62987
Jan-00,63559
Feb-00,60149
Mar-00,64315
Apr-00,62469
May-00,67324
Jun-00,63940
Jul-00,67916
Aug-00,66778
Sep-00,64297
Oct-00,65720
Nov-00,63262
Dec-00,65053
Jan-01,64850
Feb-01,57456
Mar-01,63962
Apr-01,62957
May-01,67673
Jun-01,63176
Jul-01,68550
Aug-01,66010
Sep-01,63452
Oct-01,66765
Nov-01,63160
Dec-01,62934
Jan-02,63884
Feb-02,57216
Mar-02,62091
Apr-02,61725
May-02,64383
Jun-02,62181
Jul-02,67968
Aug-02,65735
Sep-02,64203
Oct-02,66644
Nov-02,61411
Dec-02,64189
Jan-03,63955
Feb-03,58057
Mar-03,62351
Apr-03,62670
May-03,65699
Jun-03,62144
Jul-03,67625
Aug-03,64025
Sep-03,63601
Oct-03,65109
Nov-03,61905
Dec-03,64323
Jan-04,64039
Feb-04,59222
Mar-04,60985
Apr-04,61116
May-04,61453
Jun-04,63303
Jul-04,68793
Aug-04,65846
Sep-04,65273
Oct-04,66932
Nov-04,64929
Dec-04,65925
Jan-05,
Feb-05,
Mar-05,
Apr-05,
May-05,
Jun-05,
Jul-05,
Aug-05,
Sep-05,
Oct-05,
Nov-05,
Dec-05,
Jan-06,
Feb-06,
Mar-06,
Apr-06,
May-06,
Jun-06,
Jul-06,
Aug-06,
Sep-06,
Oct-06,
Nov-06,
Dec-06,
Jan-07,66287
Feb-07,59939
Mar-07,64561
Apr-07,60994
May-07,66638
Jun-07,64156
Jul-07,68411
Aug-07,68249
Sep-07,66488
Oct-07,68727
Nov-07,64811
Dec-07,66724
Jan-08,66911
Feb-08,61219
Mar-08,64405
Apr-08,65943
May-08,68582
Jun-08,65352
Jul-08,70282
Aug-08,67926
Sep-08,67820
Oct-08,67489
Nov-08,63865
Dec-08,66250
Jan-09,66436
Feb-09,58890
Mar-09,64725
Apr-09,63560
May-09,66099
Jun-09,65184
Jul-09,70900
Aug-09,68311
Sep-09,67988
Oct-09,67903
Nov-09,65117
Dec-09,68307
Jan-10,66700
Feb-10,61000
Mar-10,66000
Apr-10,63800
May-10,66600
Jun-10,65100
Jul-10,69600
Aug-10,68600
Sep-10,67700
Oct-10,69800
Nov-10,65800
Dec-10,67000
Jan-11,66293
Feb-11,60316
Mar-11,64702
Apr-11,62244
May-11,67624
Jun-11,66950
Jul-11,70231
Aug-11,69486
Sep-11,67003
Oct-11,67464
Nov-11,64559
Dec-11,66124
Jan-12,64914
Feb-12,61634
Mar-12,65079
Apr-12,63184
May-12,66341
Jun-12,63920
Jul-12,68774
Aug-12,68642
Sep-12,66919
Oct-12,69892
Nov-12,65122
Dec-12,65869
Jan-13,65700
Feb-13,58500
Mar-13,62700
Apr-13,61100
May-13,65200
Jun-13,63700
Jul-13,70100
Aug-13,68500
Sep-13,66900
Oct-13,68000
Nov-13,63900
Dec-13,65700
Jan-14,67000
Feb-14,60400
Mar-14,65000
Apr-14,60700
May-14,64500
Jun-14,65000
Jul-14,68500
Aug-14,66800
Sep-14,67400
Oct-14,67700
Nov-14,64500
Dec-14,48900
Jan-15,64600
Feb-15,57500
Mar-15,61100
Apr-15,59700
May-15,64200
Jun-15,64000
Jul-15,66700
Aug-15,65800
Sep-15,65500
Oct-15,65900
Nov-15,62500
Dec-15,64500
Jan-16,62600
Feb-16,57900
Mar-16,59700
Apr-16,57300
May-16,62400
Jun-16,62800
Jul-16,67300
Aug-16,65100
Sep-16,63600
Oct-16,64500
Nov-16,60600
Dec-16,61200
Jan-17,60500
Feb-17,55000
Mar-17,58700
Apr-17,57200
May-17,62100
Jun-17,60000
Jul-17,65200
Aug-17,64700
Sep-17,61700
Oct-17,63900
Nov-17,60800
Dec-17,60900
Jan-18,59800
Feb-18,52800
Mar-18,56400
Apr-18,55400
May-18,61300
Jun-18,60300
Jul-18,64800
Aug-18,63900
Sep-18,61900
Oct-18,63600
Nov-18,59900
Dec-18,59800
Jan-19,59900
Feb-19,51800
Mar-19,56500
Apr-19,
May-19,
Jun-19,
Jul-19,
Aug-19,
Sep-19,
Oct-19,
Nov-19,
Dec-19,
Jan-20,
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,
Nov-20,
Dec-20,
Jan-21,
Feb-21,
Mar-21,
Apr-21,
May-21,
Jun-21,
Jul-21,
Aug-21,
Sep-21,
Oct-21,
Nov-21,
Dec-21,
