stamp,United States of America
Jan-98,319340
Feb-98,298711
Mar-98,329436
Apr-98,319758
May-98,330519
Jun-98,327091
Jul-98,348651
Aug-98,344736
Sep-98,343384
Oct-98,332790
Nov-98,313241
Dec-98,333896
Jan-99,319182
Feb-99,297568
Mar-99,332939
Apr-99,316889
May-99,328526
Jun-99,332201
Jul-99,349812
Aug-99,351371
Sep-99,349409
Oct-99,332980
Nov-99,315289
Dec-99,333251
Jan-00,330108
Feb-00,317377
Mar-00,340553
Apr-00,317180
May-00,341207
Jun-00,341206
Jul-00,348975
Aug-00,360080
Sep-00,347609
Oct-00,343921
Nov-00,333811
Dec-00,336787
Jan-01,335198
Feb-01,303534
Mar-01,338684
Apr-01,323613
May-01,344017
Jun-01,331085
Jul-01,351047
Aug-01,361802
Sep-01,342564
Oct-01,344074
Nov-01,323746
Dec-01,326569
Jan-02,330674
Feb-02,303977
Mar-02,331505
Apr-02,324432
May-02,339007
Jun-02,327588
Jul-02,357669
Aug-02,359417
Sep-02,348814
Oct-02,345814
Nov-02,318573
Dec-02,334256
Jan-03,329803
Feb-03,307248
Mar-03,336920
Apr-03,330106
May-03,346754
Jun-03,337425
Jul-03,364226
Aug-03,360103
Sep-03,359644
Oct-03,354048
Nov-03,320094
Dec-03,343579
Jan-04,334000
Feb-04,317000
Mar-04,347000
Apr-04,334000
May-04,339000
Jun-04,346000
Jul-04,360000
Aug-04,357000
Sep-04,357000
Oct-04,337000
Nov-04,345000
Dec-04,348000
Jan-05,331478
Feb-05,309620
Mar-05,349321
Apr-05,332477
May-05,346276
Jun-05,350879
Jul-05,357053
Aug-05,369316
Sep-05,363369
Oct-05,344639
Nov-05,335667
Dec-05,348254
Jan-06,340297
Feb-06,319235
Mar-06,356786
Apr-06,329809
May-06,355437
Jun-06,358251
Jul-06,367934
Aug-06,387798
Sep-06,374711
Oct-06,367354
Nov-06,351832
Dec-06,356111
Jan-07,
Feb-07,
Mar-07,
Apr-07,
May-07,
Jun-07,
Jul-07,
Aug-07,
Sep-07,
Oct-07,
Nov-07,
Dec-07,
Jan-08,356457
Feb-08,338521
Mar-08,350630
Apr-08,346397
May-08,354886
Jun-08,348587
Jul-08,375384
Aug-08,373333
Sep-08,367965
Oct-08,357875
Nov-08,323788
Dec-08,353871
Jan-09,337980
Feb-09,316641
Mar-09,347803
Apr-09,337272
May-09,345257
Jun-09,346971
Jul-09,368450
Aug-09,359554
Sep-09,361922
Oct-09,347625
Nov-09,320195
Dec-09,340995
Jan-10,
Feb-10,
Mar-10,
Apr-10,
May-10,
Jun-10,
Jul-10,
Aug-10,
Sep-10,
Oct-10,
Nov-10,
Dec-10,
Jan-11,320477
Feb-11,297961
Mar-11,330151
Apr-11,313275
May-11,326647
Jun-11,337280
Jul-11,345560
Aug-11,359404
Sep-11,345548
Oct-11,328488
Nov-11,321479
Dec-11,327320
Jan-12,316315
Feb-12,304505
Mar-12,324322
Apr-12,306700
May-12,330146
Jun-12,327189
Jul-12,347542
Aug-12,361114
Sep-12,340113
Oct-12,345497
Nov-12,325146
Dec-12,324252
Jan-13,323691
Feb-13,291748
Mar-13,320529
Apr-13,311645
May-13,329520
Jun-13,319779
Jul-13,349158
Aug-13,353485
Sep-13,338008
Oct-13,340562
Nov-13,318482
Dec-13,335574
Jan-14,326366
Feb-14,298404
Mar-14,323572
Apr-14,318990
May-14,334613
Jun-14,325981
Jul-14,355524
Aug-14,354257
Sep-14,348424
Oct-14,343356
Nov-14,317998
Dec-14,340591
Jan-15,325955
Feb-15,298058
Mar-15,328923
Apr-15,320832
May-15,327917
Jun-15,330541
Jul-15,353415
Aug-15,351791
Sep-15,347516
Oct-15,339007
Nov-15,318820
Dec-15,335722
Jan-16,316707
Feb-16,306015
Mar-16,328526
Apr-16,313485
May-16,327631
Jun-16,332324
Jul-16,342728
Aug-16,357830
Sep-16,345552
Oct-16,330958
Nov-16,319389
Dec-16,324730
Jan-17,313786
Feb-17,289054
Mar-17,319625
Apr-17,300116
May-17,322456
Jun-17,323920
Jul-17,334924
Aug-17,352151
Sep-17,337175
Oct-17,329869
Nov-17,316511
Dec-17,315913
Jan-18,314808
Feb-18,284250
Mar-18,316044
Apr-18,298394
May-18,320622
Jun-18,314816
Jul-18,329009
Aug-18,344750
Sep-18,322772
Oct-18,326778
Nov-18,308703
Dec-18,310766
Jan-19,310872
Feb-19,279963
Mar-19,304237
Apr-19,298947
May-19,316386
Jun-19,304092
Jul-19,333646
Aug-19,341685
Sep-19,325781
Oct-19,325043
Nov-19,298086
Dec-19,308802
Jan-20,
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,
Nov-20,
Dec-20,
Jan-21,
Feb-21,
Mar-21,
Apr-21,
May-21,
Jun-21,
Jul-21,
Aug-21,
Sep-21,
Oct-21,
Nov-21,
Dec-21,
